"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/01/2025";"1200";"";"";"";"59,0";"62,0";"56,0";"";"";"";"1014,2";"1014,2";"1013,8";"3,8";"94,0";"5,8";"2086,20";"0,0"
"02/01/2025";"1300";"";"";"";"57,0";"61,0";"57,0";"";"";"";"1013,8";"1014,2";"1013,8";"4,1";"89,0";"7,9";"2550,70";"0,0"
"02/01/2025";"1400";"";"";"";"57,0";"61,0";"54,0";"";"";"";"1013,4";"1013,9";"1013,4";"4,1";"91,0";"8,0";"2779,20";"0,0"
"02/01/2025";"1500";"";"";"";"55,0";"60,0";"53,0";"";"";"";"1012,8";"1013,4";"1012,8";"4,5";"90,0";"7,7";"2900,10";"0,0"
"02/01/2025";"1600";"";"";"";"59,0";"60,0";"53,0";"";"";"";"1012,1";"1012,8";"1012,0";"4,5";"88,0";"8,5";"2951,20";"0,0"
"02/01/2025";"1700";"";"";"";"56,0";"59,0";"54,0";"";"";"";"1011,6";"1012,1";"1011,5";"2,8";"81,0";"7,8";"2703,00";"0,0"
"02/01/2025";"1800";"";"";"";"57,0";"59,0";"55,0";"";"";"";"1010,8";"1011,6";"1010,8";"2,4";"77,0";"6,9";"2255,80";"0,0"
"02/01/2025";"1900";"";"";"";"61,0";"61,0";"56,0";"";"";"";"1011,0";"1011,0";"1010,7";"1,8";"76,0";"6,2";"1269,70";"0,0"
"02/01/2025";"2000";"";"";"";"62,0";"63,0";"59,0";"";"";"";"1011,2";"1011,3";"1011,0";"1,8";"76,0";"4,9";"659,60";"0,0"
"02/01/2025";"2100";"";"";"";"66,0";"66,0";"61,0";"";"";"";"1011,5";"1011,5";"1011,1";"1,7";"64,0";"5,9";"313,80";"0,0"
"02/01/2025";"2200";"";"";"";"69,0";"70,0";"66,0";"";"";"";"1011,6";"1011,6";"1011,5";"3,3";"88,0";"6,4";"";"0,0"
"02/01/2025";"2300";"";"";"";"71,0";"71,0";"68,0";"";"";"";"1012,1";"1012,1";"1011,6";"2,8";"87,0";"6,8";"";"0,0"
"03/01/2025";"0000";"";"";"";"71,0";"71,0";"69,0";"";"";"";"1012,5";"1012,6";"1012,1";"3,3";"87,0";"6,1";"";"0,0"
"03/01/2025";"0100";"";"";"";"72,0";"73,0";"70,0";"";"";"";"1012,7";"1012,7";"1012,5";"2,5";"88,0";"5,6";"";"0,0"
"03/01/2025";"0200";"";"";"";"72,0";"72,0";"71,0";"";"";"";"1012,3";"1012,7";"1012,3";"2,8";"85,0";"5,8";"";"0,0"
"03/01/2025";"0300";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1011,7";"1012,3";"1011,7";"2,9";"89,0";"5,4";"";"0,0"
"03/01/2025";"0400";"";"";"";"73,0";"74,0";"73,0";"";"";"";"1011,2";"1011,8";"1011,2";"2,6";"85,0";"5,4";"";"0,0"
"03/01/2025";"0500";"";"";"";"73,0";"74,0";"72,0";"";"";"";"1011,3";"1011,3";"1011,2";"2,6";"85,0";"5,1";"";"0,0"
"03/01/2025";"0600";"";"";"";"73,0";"73,0";"71,0";"";"";"";"1011,4";"1011,4";"1011,2";"2,1";"86,0";"5,3";"";"0,0"
"03/01/2025";"0700";"";"";"";"73,0";"74,0";"71,0";"";"";"";"1011,3";"1011,4";"1011,2";"2,4";"88,0";"5,7";"";"0,0"
"03/01/2025";"0800";"";"";"";"71,0";"73,0";"70,0";"";"";"";"1011,6";"1011,7";"1011,3";"2,7";"88,0";"5,8";"";"0,0"
"03/01/2025";"0900";"";"";"";"71,0";"72,0";"69,0";"";"";"";"1012,3";"1012,3";"1011,6";"3,0";"89,0";"5,8";"41,70";"0,0"
"03/01/2025";"1000";"";"";"";"64,0";"71,0";"63,0";"";"";"";"1012,8";"1012,8";"1012,4";"3,3";"89,0";"6,3";"614,30";"0,0"
"03/01/2025";"1100";"";"";"";"61,0";"65,0";"60,0";"";"";"";"1013,1";"1013,2";"1012,8";"3,8";"86,0";"6,2";"1422,50";"0,0"
"03/01/2025";"1200";"";"";"";"59,0";"63,0";"58,0";"";"";"";"1013,5";"1013,5";"1013,1";"3,6";"86,0";"7,5";"1989,60";"0,0"
"03/01/2025";"1300";"";"";"";"58,0";"59,0";"54,0";"";"";"";"1013,3";"1013,5";"1013,2";"4,4";"91,0";"7,5";"2541,00";"0,0"
"03/01/2025";"1400";"";"";"";"56,0";"59,0";"54,0";"";"";"";"1013,0";"1013,3";"1012,9";"4,5";"86,0";"7,2";"2782,00";"0,0"
"03/01/2025";"1500";"";"";"";"55,0";"57,0";"52,0";"";"";"";"1012,7";"1013,0";"1012,6";"4,2";"87,0";"7,0";"2901,80";"0,0"
"03/01/2025";"1600";"";"";"";"56,0";"57,0";"51,0";"";"";"";"1011,8";"1012,7";"1011,8";"3,5";"84,0";"7,1";"2929,70";"0,0"
"03/01/2025";"1700";"";"";"";"57,0";"58,0";"54,0";"";"";"";"1011,0";"1011,8";"1011,0";"2,9";"83,0";"7,2";"2740,70";"0,0"
"03/01/2025";"1800";"";"";"";"58,0";"59,0";"53,0";"";"";"";"1010,6";"1011,0";"1010,6";"3,4";"82,0";"7,4";"2286,90";"0,0"
"03/01/2025";"1900";"";"";"";"61,0";"62,0";"58,0";"";"";"";"1010,4";"1010,7";"1010,3";"3,5";"87,0";"7,5";"1651,90";"0,0"
"03/01/2025";"2000";"";"";"";"65,0";"66,0";"61,0";"";"";"";"1010,3";"1010,4";"1010,3";"4,4";"90,0";"8,1";"934,00";"0,0"
"03/01/2025";"2100";"";"";"";"68,0";"68,0";"64,0";"";"";"";"1010,4";"1010,5";"1010,3";"3,4";"86,0";"8,1";"210,60";"0,0"
"03/01/2025";"2200";"";"";"";"68,0";"69,0";"67,0";"";"";"";"1010,9";"1010,9";"1010,4";"3,6";"87,0";"6,7";"";"0,0"
"03/01/2025";"2300";"";"";"";"69,0";"70,0";"68,0";"";"";"";"1011,7";"1011,7";"1010,9";"3,1";"86,0";"7,2";"";"0,0"
"04/01/2025";"0000";"";"";"";"71,0";"72,0";"69,0";"";"";"";"1012,4";"1012,4";"1011,7";"3,2";"87,0";"6,5";"";"0,0"
"04/01/2025";"0100";"";"";"";"71,0";"72,0";"69,0";"";"";"";"1012,6";"1012,7";"1012,5";"3,1";"83,0";"7,2";"";"0,0"
"04/01/2025";"0200";"";"";"";"71,0";"72,0";"70,0";"";"";"";"1012,3";"1012,7";"1012,3";"3,0";"73,0";"7,2";"";"0,0"
"04/01/2025";"0300";"";"";"";"72,0";"72,0";"70,0";"";"";"";"1011,9";"1012,4";"1011,9";"3,2";"75,0";"6,2";"";"0,0"
"04/01/2025";"0400";"";"";"";"72,0";"74,0";"71,0";"";"";"";"1011,4";"1011,9";"1011,3";"3,5";"76,0";"6,9";"";"0,0"
"04/01/2025";"0500";"";"";"";"71,0";"72,0";"70,0";"";"";"";"1011,3";"1011,5";"1011,3";"2,7";"73,0";"7,0";"";"0,0"
"04/01/2025";"0600";"";"";"";"72,0";"72,0";"70,0";"";"";"";"1011,2";"1011,4";"1011,1";"2,6";"76,0";"6,3";"";"0,0"
"04/01/2025";"0700";"";"";"";"75,0";"75,0";"72,0";"";"";"";"1011,3";"1011,5";"1011,2";"2,2";"65,0";"6,3";"";"0,0"
"04/01/2025";"0800";"";"";"";"72,0";"75,0";"72,0";"";"";"";"1011,4";"1011,4";"1011,2";"2,8";"62,0";"6,3";"";"0,0"
"04/01/2025";"0900";"";"";"";"73,0";"77,0";"72,0";"";"";"";"1011,7";"1011,7";"1011,4";"2,8";"69,0";"5,4";"72,90";"0,0"
"04/01/2025";"1000";"";"";"";"71,0";"73,0";"68,0";"";"";"";"1011,7";"1011,8";"1011,6";"2,8";"76,0";"6,8";"471,60";"0,0"
"04/01/2025";"1100";"";"";"";"68,0";"72,0";"66,0";"";"";"";"1012,4";"1012,4";"1011,7";"3,1";"68,0";"6,9";"837,70";"0,0"
"04/01/2025";"1200";"";"";"";"66,0";"70,0";"64,0";"";"";"";"1012,7";"1012,7";"1012,4";"3,6";"69,0";"7,6";"1592,20";"0,0"
"04/01/2025";"1300";"";"";"";"65,0";"67,0";"57,0";"";"";"";"1012,8";"1012,8";"1012,5";"4,0";"76,0";"7,5";"2370,90";"0,0"
"04/01/2025";"1400";"";"";"";"60,0";"65,0";"58,0";"";"";"";"1012,1";"1012,8";"1012,1";"4,9";"92,0";"8,4";"2658,50";"0,0"
"04/01/2025";"1500";"";"";"";"59,0";"62,0";"56,0";"";"";"";"1011,3";"1012,1";"1011,2";"5,0";"91,0";"8,5";"2893,40";"0,0"
"04/01/2025";"1600";"";"";"";"60,0";"63,0";"56,0";"";"";"";"1010,8";"1011,3";"1010,8";"4,8";"89,0";"8,4";"2915,10";"0,0"
"04/01/2025";"1700";"";"";"";"64,0";"64,0";"58,0";"";"";"";"1009,9";"1010,8";"1009,9";"4,9";"88,0";"9,3";"2712,70";"0,0"
"04/01/2025";"1800";"";"";"";"66,0";"67,0";"60,0";"";"";"";"1009,5";"1010,0";"1009,4";"4,8";"88,0";"8,6";"2249,60";"0,0"
"04/01/2025";"1900";"";"";"";"68,0";"68,0";"64,0";"";"";"";"1009,4";"1009,6";"1009,3";"5,0";"90,0";"8,3";"1380,70";"0,0"
"04/01/2025";"2000";"";"";"";"69,0";"70,0";"68,0";"";"";"";"1009,6";"1009,6";"1009,3";"3,9";"86,0";"8,5";"694,90";"0,0"
