temp_inst,umidade_inst,pressao_inst,vento_vel,vento_raj,chuva,radiacao
27.439247311827955,70.34274193548387,1012.3291666666667,3.007930107526882,12.2,83.0,544224.9
28.341954022988507,63.12931034482759,1013.3617816091954,2.8846264367816095,13.5,0.0,614982.0
28.610483870967744,62.81989247311828,1013.5127688172043,2.7525537634408606,12.7,0.0,608876.9
28.33513888888889,62.081944444444446,1013.2126388888888,2.623888888888889,14.9,0.0,525674.1
27.03655913978495,66.17204301075269,1015.263440860215,1.8430272108843537,12.4,206.0,452149.9
26.069444444444443,68.49305555555556,1016.8756944444444,,,225.4,403532.9
25.5497311827957,64.4260752688172,1017.3327956989247,,,53.800000000000004,459917.3
25.44771505376344,64.36021505376344,1017.1352150537634,,,63.4,527943.6
25.939999999999998,64.78472222222223,1016.452361111111,,,39.4,578157.4
26.665188172043013,65.6774193548387,1013.9592741935484,,,17.8,649730.8
27.133194444444445,65.43055555555556,1012.7901388888889,,,15.6,665741.7
27.346249999999998,66.59166666666667,1012.3695833333333,,,39.0,655790.1
27.893951612903223,61.0994623655914,1012.8684139784946,,,3.8,693767.3
28.130505952380954,61.41815476190476,1012.3139880952381,,,17.6,609327.7
28.306451612903224,63.13709677419355,1012.0034946236559,,,58.4,618083.5
27.920516962843294,66.30856219709209,1012.7985460420033,,,140.8,417262.7
27.043010752688172,67.27688172043011,1014.0970430107526,,,260.8,460829.4
25.97222222222222,68.53611111111111,1015.9576388888889,,,0.0,393231.0
24.813709677419357,64.86155913978494,1019.0185483870969,,,0.0,431429.5
24.52956989247312,69.1236559139785,1017.0944892473119,,,0.0,463132.2
24.750972222222224,68.98055555555555,1017.8127777777777,2.759259259259259,8.2,0.0,500564.1
26.01236559139785,67.00806451612904,1014.8520161290323,2.8321236559139784,11.8,88.2,604585.9
26.88888888888889,67.7875,1012.2919444444444,3.735,12.9,28.2,656055.2
27.14763888888889,69.22638888888889,1011.7998611111111,3.407638888888889,12.1,21.2,611796.7
27.866129032258065,64.06989247311827,1012.376747311828,3.389516129032258,11.9,14.8,669800.6
27.672172619047622,67.6875,1011.4622023809524,3.0004464285714283,11.1,90.4,567161.2
27.604569892473116,69.43145161290323,1011.5068548387096,2.962768817204301,37.3,140.6,633847.3
27.417222222222225,65.4263888888889,1013.2234722222222,1.9005555555555558,10.1,90.8,521042.1
26.57177419354839,68.62231182795699,1014.655376344086,1.8475806451612902,11.6,0.0,474878.6
25.611527777777777,68.80972222222222,1016.7570833333333,1.9652777777777777,10.6,11.6,427331.6
24.935349462365593,67.04301075268818,1017.3622311827957,1.6748655913978494,11.6,90.8,441015.8
25.538844086021506,64.72177419354838,1017.4748655913979,2.372983870967742,10.4,30.2,525539.9
26.156388888888888,63.62777777777778,1015.2380555555555,3.0184722222222224,11.9,10.8,577984.6
26.945564516129032,65.65725806451613,1013.3541666666666,3.7275537634408606,12.3,23.0,631053.2
27.437361111111112,64.87916666666666,1012.85125,3.6398611111111108,11.4,28.0,625025.2
27.836021505376344,64.42204301075269,1013.1893817204301,3.216935483870968,11.1,8.6,660488.0
28.298252688172045,61.04704301075269,1014.0399193548386,2.6037634408602153,10.6,12.799999999999999,657354.0
28.71011904761905,65.74107142857143,1011.9906249999999,3.1385416666666663,12.7,40.6,556024.8
28.453360215053763,67.33333333333333,1012.261693548387,2.60241935483871,13.1,133.4,487963.9
28.16472222222222,68.525,1012.3161111111111,2.205416666666667,8.9,124.0,270122.7
27.391801075268816,68.86693548387096,1013.1157258064516,1.903225806451613,10.4,166.8,211496.1
25.75680555555556,70.72083333333333,1016.4790277777778,1.8184722222222223,13.1,291.0,199706.7
25.015725806451613,75.1675,1016.6606182795699,1.8071236559139785,12.9,375.6,129688.5
25.254435483870967,69.68627450980392,1018.5736559139785,1.9426075268817204,15.0,98.2,522374.3
25.8925,,1016.2833333333333,2.541111111111111,14.6,95.6,567722.8
26.669758064516127,,1014.1227150537635,3.007930107526882,11.1,91.0,666526.3
27.45486111111111,56.908396946564885,1012.0366666666667,3.288333333333333,11.3,14.2,672551.2
27.889516129032256,55.946236559139784,1012.1573924731182,3.481720430107527,13.6,8.0,688555.3
28.200806451612905,57.428763440860216,1012.134811827957,3.176209677419355,12.4,19.0,612788.9
28.475718390804595,59.53448275862069,1012.2285919540229,2.6745689655172415,11.6,129.6,589804.6
28.178897849462363,61.651881720430104,1011.545430107527,2.341532258064516,12.1,187.6,558490.9
27.741666666666667,64.85972222222222,1012.7097222222222,2.0775,10.9,286.8,497396.8
26.403360215053763,70.56854838709677,1014.4577956989247,1.771774193548387,12.4,206.4,391021.6
25.665972222222223,67.94583333333334,1015.6579166666666,1.608888888888889,13.3,263.40000000000003,363521.0
25.064919354838707,62.75268817204301,1016.1905913978495,1.744758064516129,12.9,72.2,372871.4
25.085887096774197,61.336021505376344,1016.6840053763441,1.8776881720430108,14.0,132.4,496250.0
25.77777777777778,58.68055555555556,1016.09625,2.1956944444444444,11.9,42.0,555617.2
26.883467741935483,59.64784946236559,1013.5322580645161,3.0603494623655916,12.3,20.0,647646.7
27.22611111111111,61.05694444444445,1012.6505555555556,3.2423611111111112,11.6,58.599999999999994,614145.4
27.401478494623657,58.14381720430107,1012.7461021505376,3.4576612903225805,11.7,8.2,681218.8
27.773521505376344,59.56413793103448,1012.2161290322581,2.9493279569892477,15.0,124.4,598364.1
29.386309523809523,54.34539969834088,1011.5431547619048,3.1776785714285714,12.2,14.0,597008.0
29.176478494623655,54.38068181818182,1011.9966397849462,2.452016129032258,11.2,72.6,614341.5
28.240416666666665,,1012.3398611111111,2.0791666666666666,12.0,133.8,466679.4
25.928897849462363,,1014.5232653061224,1.8571428571428572,14.5,197.4,426859.2
25.493333333333336,,1015.5515277777778,1.8338888888888891,12.6,89.6,400425.3
24.741532258064517,,1017.3596774193549,1.6463709677419356,11.7,283.4,416009.2
24.890456989247312,,1017.3477150537634,2.10241935483871,13.4,56.2,507309.4
25.988750000000003,60.26696832579186,1015.75125,2.2087499999999998,11.1,50.6,557425.2
26.734543010752688,60.954,1013.4694892473119,3.0879032258064516,12.4,46.4,636500.8
27.295277777777777,,1011.3775,3.4851388888888892,11.5,80.2,585148.7
27.400000000000002,,1009.7967213114754,3.6754098360655734,9.2,0.0,45034.4
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
,,,,,0.0,0.0
25.387678571428573,69.32751937984496,1015.1880357142858,2.380357142857143,10.8,21.4,458699.4
26.231763122476448,68.68654434250764,1014.1971736204576,2.769313593539704,12.3,85.0,627316.1
26.30318257956449,89.86440677966101,1011.3973199329982,3.2731993299832496,11.8,105.6,473061.8
26.22728494623656,42.375,1011.639247311828,2.9071236559139786,10.9,47.4,637671.9
27.08427419354839,56.44444444444444,1012.5336021505376,3.06008064516129,10.3,30.6,678181.4
27.603571428571428,83.05555555555556,1012.5605654761904,2.6269345238095236,11.3,92.6,555190.6
27.504301075268817,71.4375,1012.543817204301,2.2112903225806453,10.7,179.6,577923.5
