data,localizacao,texto
04/04/2024,Aracaju,"O prefeito Edvaldo Nogueira reuniu, nesta quinta-feira, 5, o Comitê de Gerenciamento de Crise da Prefeitura de Aracaju para tratar…"
24/01/2024,Aracaju,"O prefeito Edvaldo Nogueira reuniu, nesta terça-feira, 23, o Comitê de Gerenciamento de Crise da Prefeitura de Aracaju e…"
16/01/2024,"Aracaju, Veneza","O prefeito Edvaldo Nogueira autorizou, nesta terça-feira (16), o início da obra de infraestrutura do loteamento Veneza II, o…"
20/12/2023,Aracaju,"Da redação, AJN1 O governador Fábio Mitidieri assinou nesta terça-feira (19)  a ordem de serviço para revestimento e urbanização do…"
12/09/2023,Aracaju,Com a recente aprovação do Senado Federal para contratação de um empréstimo de R$ 500 milhões junto ao Novo Banco de…
30/08/2023,Aracaju,"Passado o período de chuvas mais intensas na capital sergipana, que se concentram entre os meses de maio e…"
11/08/2023,Aracaju,"A Defesa Civil de Aracaju promoveu, nesta quinta-feira (10), o segundo encontro para Mapeamento Participativo de áreas de risco na…"
10/07/2023,Aracaju,"O alerta de chuva moderada emitido pela Defesa Civil de Aracaju na última quinta-feira (6), através do serviço SMS…"
05/07/2023,Aracaju,"Da redação, AJN1 Aracaju registrou 289,6 milímetros (mm) de volume acumulado de chuva no último mês de junho. O montante…"
07/06/2023,Aracaju,"Com o alerta de chuva moderada para esta quarta-feira (7), equipes da Defesa Civil de Aracaju seguem monitorando áreas…"
02/06/2023,Aracaju,"Com volume acumulado de 537,3 milímetros (mm) de chuva, o mês de maio, em Aracaju, supera a média histórica de…"
23/05/2023,Aracaju,"Historicamente, maio é o mês mais chuvoso, na capital sergipana, no entanto, neste ano, o volume de chuva registrado veio…"
23/05/2023,Aracaju,"O volume de chuvas tem prejudicado o acesso do transporte público coletivo em algumas vias. Em Aracaju, os principais…"
22/05/2023,Aracaju,"Com possibilidade de chuvas intensas até a quarta-feira (24), a Prefeitura de Aracaju mantém suas equipes de prontidão. O…"
20/05/2023,Aracaju,"Da redação, AJN1 O índice pluviométrico acumulado nas últimas 48h em Aracaju foi de 128 milímetros (mm), considerado alto por…"
25/04/2023,Aracaju,"Com alerta de chuva em vigor até a noite desta terça-feira (25), a Defesa Civil de Aracaju, órgão vinculado…"
23/04/2023,Aracaju,"Desde as primeiras horas da manhã deste sábado, 22, a Prefeitura de Aracaju, através da Defesa Civil, órgão vinculado à…"
23/03/2023,Aracaju,"A Defesa Civil de Aracaju atendeu a 26 ocorrências até o final da tarde de ontem (22), quando chegou…"
17/03/2023,"17 De Março, Aracaju","Nesta sexta-feira, 17 de março, a cidade de Aracaju comemora 168 anos de fundação. A sua formação é fruto da…"
29/12/2022,Atalaia,"A Orla da Atalaia passa por uma série de intervenções na região para a festa de Réveillon neste domingo, dia…"
30/11/2022,Centro,"Da redação, AJN1  A frente fria que atua em Sergipe desde o último domingo (27) tem castigado, principalmente, as regiões…"
15/08/2022,Aracaju,"Conforme previsto pelo serviço de meteorologia, a frente fria que chegou à capital, no final de semana, resultou em…"
12/06/2022,Aracaju,"Segundo a Prefeitura de Aracaju, choveu cerca de 100 mm neste sábado (11). A incidência maior foi no início da…"
09/06/2022,Aracaju,"Nas primeiras horas da manhã desta quinta-feira (9), a Prefeitura de Aracaju, através do monitor de chuva da capital,…"
20/05/2022,Aracaju,"Conforme previsto pela Defesa Civil de Aracaju, a capital registra chuvas, relâmpagos e trovões desde a madrugada desta sexta-feira…"
01/04/2022,Aracaju,"A Defesa Civil de Aracaju informa que, nesta sexta-feira (1°), o monitor de chuva da capital registrou o acumulado…"
05/03/2022,Aracaju,"Segundo o monitoramento feito pela Defesa Civil de Aracaju, no início da manhã deste sábado (5), em algumas regiões…"
02/02/2022,Aracaju,"O prefeito Edvaldo Nogueira abriu, nesta quarta-feira, 2, os trabalhos legislativos da Câmara Municipal de Aracaju. Na primeira sessão ordinária…"
20/12/2021,Aracaju,"Na manhã desta segunda-feira, 20, a Defesa Civil de Aracaju emitiu alerta com indicação de chuvas moderadas, na capital, para…"
19/08/2021,Aracaju,"A quinta-feira (19), amanheceu com chuva em todas as regiões de Aracaju. E o tempo, de acordo com Instituto Nacional…"
10/08/2021,Aracaju,"O prefeito Edvaldo Nogueira anunciou na manhã desta terça-feira, 10, o programa “Aracaju Cidade do Futuro”. Com recursos na ordem…"
26/07/2021,Aracaju,"A Defesa Civil de Aracaju emitiu alerta na manhã desta segunda-feira (26), para a possibilidade de chuvas nas próximas 24h,…"
10/07/2021,Aracaju,"A Defesa Civil de Aracaju, órgão ligado à Secretaria Municipal da Defesa Social e Cidadania (Semdec), emitiu alerta via SMS…"
09/07/2021,Aracaju,"Equipes da Prefeitura de Aracaju monitoram desde as primeiras horas desta sexta-feira, 9, os possíveis pontos de alagamentos da capital,…"
09/07/2021,Aracaju,"Da redação, AJN1 Nas últimas 72h, choveu em Aracaju 113.3 milímetros (mm), e nas últimas 24h, em torno de 64…"
14/05/2021,Aracaju,"A Prefeitura de Aracaju segue monitorando, desde as primeiras horas desta sexta-feira, 14, os possíveis pontos de alagamentos da cidade,…"
29/04/2021,Aracaju,"Da redação, AJN1 A Defesa Civil de Aracaju emitiu alerta, através do serviço via SMS, para a previsão de mais…"
28/04/2021,Aracaju,"Da redação, AJN1 O alerta de maré alta persiste ainda nesta quarta-feira (28) em Aracaju. Para hoje, a previsão é…"
17/04/2021,Aracaju,As fortes chuvas registradas  nesta sexta-feira (16) em Aracaju seguiram pela madrugada deste sábado (17) e a Prefeitura Municipal de…
15/04/2021,Centro,O Centro de Meteorologia do Estado de Sergipe (CMS) alerta que as próximas 72 horas devem ser de chuva…
29/03/2021,Aracaju,"Se estende até esta terça-feira, 30, o alerta de previsão de chuva moderada e maré alta em Aracaju. O alerta…"
16/02/2021,Centro,O Centro de Meteorologia de Sergipe (CMS) emite alerta de chuvas fortes em todas as regiões do estado para as…
04/11/2020,Aracaju,"Em 36 horas, a capital sergipana registrou chuvas que alcançaram os 111.8 mm, ultrapassando a previsão e mantendo equipes…"
02/11/2020,Aracaju,"A Prefeitura de Aracaju, através da Secretaria da Defesa Social e da Cidadania (Semdec), monitora, desde o início da tarde…"
05/07/2020,Aracaju,"Em 2017, a Prefeitura de Aracaju identificou uma demanda reprimida provinda da população que mora em locais tidos como de…"
29/05/2020,"Aracaju, Jabotiana","Da redação, AJN1 A 1ª Vara da Justiça Federal em Sergipe determinou que o Estado e o Município de Aracaju…"
29/03/2020,Aracaju,"Da redação, Joangelo Custódio Aracaju registrou um acumulado de chuva em torno de 59 milímetros (mm) nas últimas 24h, segundo…"
26/03/2020,Aracaju,A Secretaria Municipal da Defesa Social e da Cidadania (Semdec) mantém as equipes em atenção às chuvas que atingem a…
29/02/2020,Aracaju,"Da redação, AJN1 As chuvas que caíram nas primeiras horas deste sábado (29) em Aracaju e em outras regiões do…"
06/02/2020,Centro,"Da redação, AJN1 A Defesa Civil estadual e o Centro de Meteorologia da Superintendência Especial de Recursos Hídricos e Meio…"
26/11/2019,Centro,"Com base em boletins recebidos do Instituto Nacional de Meteorologia (INMET), do Centro de Previsão de Tempo e Estudos Climáticos…"
15/07/2019,Aracaju,A Prefeitura de Aracaju iniciará uma força-tarefa de recuperação da cidade após as fortes chuvas da semana passada. Em cinco…
12/07/2019,Aracaju,"Da redação, AJN1 Cerca de 300 moradores do município de Riachuelo, distante 32 km de Aracaju, estão desalojados devido à…"
12/07/2019,Aracaju,"Em meio às fortes chuvas, a Superintendência Municipal de Transportes e Trânsito (SMTT) de Aracaju alerta a população para a…"
11/07/2019,Aracaju,"O prefeito Edvaldo Nogueira visitou, na manhã desta quinta-feira, 11, as áreas mais afetadas pelas chuvas em Aracaju. Após se…"
10/07/2019,Aracaju,Equipes da Empresa Municipal de Serviços Urbanos (Emsurb) e da Defesa Civil de Aracaju atuaram durante toda a noite e…
21/03/2019,Centro,"Da redação, AJN1 A Capitania dos Portos de Sergipe (CPSE) informou, por meio do Centro de Hidrografia da Marinha (CHM),…"
21/03/2019,Aracaju,"O prefeito de Aracaju Edvaldo Nogueira acompanhou, no início da manhã desta quinta-feira (21), o trabalho de desobstrução das águas…"
06/02/2019,Aracaju,"Da redação, AJN1 Desde a madrugada de hoje (6) que chove em várias cidades de Sergipe, entre elas Aracaju,…"
30/01/2019,Aracaju,A Prefeitura Municipal de Aracaju (PMA) deu início aos trabalhos para implantação de micro e macrodrenagem e a retirada de…
