data,localizacao,texto,titulo,link
11 de abril de 2023,Aracaju,"Para quem precisa sair de casa e está em dúvida sobre como estará o tempo durante o dia, principalmente no período chuvoso, a Prefeitura de Aracaju disponibiliza uma ferramenta completa …",Plataforma ClimAju facilita monitoramento das condições climáticas na capital sergipana,https://www.sosergipe.com.br/plataforma-climaju-facilita-monitoramento-das-condicoes-climaticas-na-capital-sergipana/
6 de fevereiro de 2023,Aracaju,"As equipes da Prefeitura de Aracaju estão em alerta e seguem monitorando toda a cidade desde a madrugada desta segunda-feira, 6, quando a chuva iniciou na capital. A Defesa Civil, …",Prefeitura monitora a capital e alerta para chuvas nas próximas 24h,https://www.sosergipe.com.br/prefeitura-monitora-a-capital-e-alerta-para-chuvas-nas-proximas-24h/
1 de dezembro de 2022,Centro,"Na última quarta-feira (30), o Governo do Estado declarou situação de emergência nos municípios de Tobias Barreto e Itabaianinha nas regiões Sul e Centro Sul de Sergipe, devido aos estragos …",Governo declara situação de emergência dos municípios de Tobias Barreto e Itabaianinha,https://www.sosergipe.com.br/governo-declara-situacao-de-emergencia-dos-municipios-de-tobias-barreto-e-itabaianinha/
12 de setembro de 2022,Aracaju,"“Proteger a vida e cuidar da cidade” é o lema da atual gestão da Prefeitura de Aracaju. Norteada por essas diretrizes, a Defesa Civil do Município tem trabalhado de forma …",Atuação da Defesa Civil de Aracaju garante resiliência à capital e segurança à população,https://www.sosergipe.com.br/atuacao-da-defesa-civil-de-aracaju-garante-resiliencia-a-capital-e-seguranca-a-populacao/
17 de junho de 2022,Aracaju,"Em maio, choveu quase o dobro do que era esperado, em Aracaju. A média histórica para o mês é de 251 milímetros, mas foram registrados 420 milímetros. As precipitações continuaram …",Investimentos em tecnologia e ações preventivas tornam Aracaju uma cidade cada vez mais resiliente,https://www.sosergipe.com.br/investimentos-em-tecnologia-e-acoes-preventivas-tornam-aracaju-uma-cidade-cada-vez-mais-resiliente/
1 de abril de 2022,"Aracaju, Zona Norte","Nas primeiras seis horas desta sexta-feira, 1º, Aracaju já havia acumulado 82 milímetros de chuva, sendo que, a maior parte desse volume foi registrada na zona norte da cidade. Ainda …","Com previsão de chuva para as próximas 48h, Prefeitura se mantém alerta às ocorrências",https://www.sosergipe.com.br/com-previsao-de-chuva-para-as-proximas-48h-prefeitura-se-mantem-alerta-as-ocorrencias/
5 de março de 2022,Aracaju,"Segundo o monitoramento feito pela Defesa Civil de Aracaju, no início da manhã deste sábado, 5, em algumas regiões da capital foram registrados 50 milímetros de chuva, com maior intensidade …","Defesa Civil está fazendo monitoramento constante das áreas de risco, em virtude das chuvas em Aracaju",https://www.sosergipe.com.br/defesa-civil-esta-fazendo-monitoramento-constante-das-areas-de-risco-em-virtude-das-chuvas-em-aracaju/
24 de fevereiro de 2022,Aracaju,"Preparar Aracaju para que enfrente o período chuvoso, previsto para iniciar no mês de março, com efetividade. Esta foi a pauta da reunião do Comitê de Gerenciamento de Crise da …",Prefeitura de Aracaju se antecipa e traça estratégias preventivas para o período chuvoso,https://www.sosergipe.com.br/prefeitura-de-aracaju-se-antecipa-e-traca-estrategias-preventivas-para-o-periodo-chuvoso/
10 de agosto de 2021,Aracaju,"O prefeito Edvaldo Nogueira anunciou, na manhã desta terça-feira, 10, um programa que representa o maior pacote de investimentos da história do município: o “Aracaju Cidade do Futuro”. Com recursos …",Prefeito Edvaldo anuncia maior programa de investimentos da história de Aracaju,https://www.sosergipe.com.br/prefeito-edvaldo-anuncia-maior-programa-de-investimentos-da-historia-de-aracaju/
19 de julho de 2021,Aracaju,"Este ano as chuvas começaram antes do previsto e com um volume maior do que a média histórica. No mês de maio, choveu 291 mm, quando a média dos anos …",Manutenção preventiva de canais garante segurança em Aracaju durante período de chuvas,https://www.sosergipe.com.br/manutencao-preventiva-de-canais-garante-seguranca-em-aracaju-durante-periodo-de-chuvas/
7 de junho de 2019,Aracaju,"As chuvas que estão caindo em Aracaju nas últimas horas devem prosseguir até o final de semana. Choveu praticamente toda a noite de quinta e madrugada desta sexta-feira, 7. Pela …",Chuvas devem continuar durante todo o final de semana,https://www.sosergipe.com.br/chuvas-devem-continuar-todo-o-final-de-semana/
31 de janeiro de 2019,Aracaju,A Prefeitura Municipal de Aracaju (PMA) deu início aos trabalhos para implantação de micro e macrodrenagem e a retirada de todo o pavimento antigo para a aplicação de nova camada …,"Trânsito vai mudar na Euclides Figueiredo a partir de segunda, 4",https://www.sosergipe.com.br/transito-vai-mudar-na-euclides-figueiredo-a-partir-de-segunda-4/
21 de abril de 2018,Aracaju,"Choveu bastante na madrugada de sexta-feira para sábado e a previsão do meteorologista Overland Amaral, da  Sala de Situação, Clima e Tempo da Secretaria de Estado do Meio Ambiente e …","Chuvas vão continuar em Aracaju, assegura meteorologista",https://www.sosergipe.com.br/chuvas-vao-continuar-em-aracaju-assegura-meteorologista/
30 de maio de 2017,Aracaju,"A Prefeitura Municipal de Aracaju, através da Defesa Civil, continua em alerta por causa da possibilidade de mais chuvas na capital, nos próximos dias. Até o momento, o órgão atendeu a …",Defesa Civil alerta para chuvas em Aracaju,https://www.sosergipe.com.br/defesa-civil-alerta-para-chuvas-em-aracaju/
