ano,mes,dias_no_mes,dias_com_dado,dias_ausentes,precipitacao_total_mm,precipitacao_media_mm,pct_falha,ano_mes
2024,10,31,31,0,8.0,0.26,0.0,2024-10
2024,11,30,30,0,18.2,0.61,0.0,2024-11
2024,12,31,31,0,7.6,0.25,0.0,2024-12
2025,1,31,31,0,78.4,2.53,0.0,2025-01
2025,2,28,28,0,45.6,1.63,0.0,2025-02
2025,3,31,31,0,77.8,2.51,0.0,2025-03
2025,4,30,30,0,110.0,3.67,0.0,2025-04
2025,5,31,30,1,416.2,13.87,3.2,2025-05
2025,6,30,29,1,172.2,5.94,3.3,2025-06
2025,7,31,31,0,229.0,7.39,0.0,2025-07
2025,8,31,31,0,194.2,6.26,0.0,2025-08
2025,9,30,29,1,104.2,3.59,3.3,2025-09
2025,10,31,3,28,3.8,1.27,90.3,2025-10
2025,11,30,0,30,0.0,,100.0,2025-11
2025,12,31,0,31,0.0,,100.0,2025-12
2026,1,31,0,31,0.0,,100.0,2026-01
2026,2,28,0,28,0.0,,100.0,2026-02
2026,3,31,0,31,0.0,,100.0,2026-03
2026,4,30,0,30,0.0,,100.0,2026-04
2026,5,31,0,31,0.0,,100.0,2026-05
2026,6,30,0,30,0.0,,100.0,2026-06
2026,7,31,0,31,0.0,,100.0,2026-07
2026,8,31,0,31,0.0,,100.0,2026-08
2026,9,3,0,3,0.0,,100.0,2026-09
