"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/01/2023";"1300";"26,5";"27,0";"25,7";"";"";"";"";"";"";"1014,2";"1014,6";"1014,1";"4,3";"62,0";"8,5";"1695,30";"0,0"
"02/01/2023";"1400";"26,1";"26,7";"26,0";"";"";"";"";"";"";"1013,7";"1014,3";"1013,7";"4,4";"68,0";"8,9";"1573,40";"0,0"
"02/01/2023";"1500";"26,8";"26,9";"25,9";"";"";"";"";"";"";"1013,1";"1013,8";"1013,1";"4,4";"69,0";"9,5";"1961,10";"0,0"
"02/01/2023";"1600";"27,2";"28,4";"26,5";"";"";"";"";"";"";"1011,9";"1013,1";"1011,9";"4,8";"67,0";"8,9";"2948,30";"0,0"
"02/01/2023";"1700";"26,6";"27,9";"26,2";"";"";"";"";"";"";"1011,4";"1012,0";"1011,4";"3,5";"79,0";"7,9";"1591,20";"0,0"
"02/01/2023";"1800";"27,1";"27,9";"26,6";"";"";"";"";"";"";"1010,6";"1011,4";"1010,6";"4,3";"78,0";"8,3";"2076,50";"0,0"
"02/01/2023";"1900";"26,6";"27,5";"26,6";"";"";"";"";"";"";"1010,6";"1010,8";"1010,5";"4,1";"78,0";"8,3";"1438,80";"0,0"
"02/01/2023";"2000";"26,4";"26,7";"26,4";"";"";"";"";"";"";"1011,0";"1011,0";"1010,5";"2,6";"72,0";"6,8";"436,70";"0,0"
"02/01/2023";"2100";"26,1";"26,4";"26,1";"";"";"";"";"";"";"1011,1";"1011,1";"1010,9";"3,6";"78,0";"7,7";"64,20";"0,0"
"02/01/2023";"2200";"25,7";"26,2";"25,4";"";"";"";"";"";"";"1011,9";"1011,9";"1011,0";"3,9";"81,0";"7,7";"";"0,0"
"02/01/2023";"2300";"26,5";"26,5";"25,7";"";"";"";"";"";"";"1012,9";"1012,9";"1011,9";"2,9";"77,0";"6,7";"";"0,0"
"03/01/2023";"0000";"26,8";"26,8";"26,5";"";"";"";"";"";"";"1013,6";"1013,6";"1012,9";"3,8";"80,0";"8,1";"";"0,0"
"03/01/2023";"0100";"25,2";"26,8";"25,1";"";"";"";"";"";"";"1013,4";"1013,6";"1013,1";"2,4";"74,0";"8,0";"";"1,2"
"03/01/2023";"0200";"25,8";"25,9";"25,2";"";"";"";"";"";"";"1012,6";"1013,5";"1012,6";"2,9";"64,0";"6,8";"";"0,0"
"03/01/2023";"0300";"26,0";"26,0";"25,7";"";"";"";"";"";"";"1012,0";"1012,6";"1012,0";"2,4";"64,0";"4,8";"";"0,0"
"03/01/2023";"0400";"25,6";"26,1";"25,6";"";"";"";"";"";"";"1011,5";"1012,0";"1011,4";"3,8";"78,0";"8,4";"";"0,0"
"03/01/2023";"0500";"25,8";"25,9";"25,6";"";"";"";"";"";"";"1011,1";"1011,5";"1011,1";"4,0";"75,0";"7,3";"";"0,0"
"03/01/2023";"0600";"25,8";"25,9";"25,8";"";"";"";"";"";"";"1011,2";"1011,3";"1011,1";"2,6";"72,0";"7,0";"";"0,0"
"03/01/2023";"0700";"24,7";"25,9";"24,6";"";"";"";"";"";"";"1011,6";"1011,6";"1011,1";"2,7";"70,0";"5,9";"";"1,0"
"03/01/2023";"0800";"25,4";"25,4";"24,7";"";"";"";"";"";"";"1011,8";"1011,8";"1011,4";"3,1";"60,0";"5,7";"";"0,0"
"03/01/2023";"0900";"25,9";"25,9";"25,2";"";"";"";"";"";"";"1012,7";"1012,7";"1011,8";"2,0";"69,0";"5,5";"65,50";"0,0"
"03/01/2023";"1000";"24,9";"26,4";"24,9";"";"";"";"";"";"";"1013,2";"1013,2";"1012,7";"4,7";"38,0";"7,9";"439,00";"0,0"
"03/01/2023";"1100";"25,8";"25,8";"24,7";"";"";"";"";"";"";"1013,8";"1013,8";"1013,2";"2,6";"64,0";"9,2";"459,10";"0,0"
"03/01/2023";"1200";"25,8";"26,5";"24,7";"";"";"";"";"";"";"1014,2";"1014,3";"1013,7";"2,3";"10,0";"7,9";"710,50";"0,2"
"03/01/2023";"1300";"27,7";"28,1";"25,6";"";"";"";"";"";"";"1014,2";"1014,4";"1014,1";"4,5";"70,0";"8,1";"1822,90";"0,2"
"03/01/2023";"1400";"28,2";"28,6";"26,7";"";"";"";"";"";"";"1013,9";"1014,2";"1013,8";"4,8";"77,0";"8,5";"2523,50";"0,2"
"03/01/2023";"1500";"28,5";"29,3";"28,0";"";"";"";"";"";"";"1013,1";"1013,9";"1013,1";"4,9";"76,0";"8,8";"2889,10";"0,0"
"03/01/2023";"1600";"29,0";"29,3";"28,3";"";"";"";"";"";"";"1012,6";"1013,1";"1012,5";"4,8";"76,0";"8,9";"2974,20";"0,0"
"03/01/2023";"1700";"28,2";"29,5";"28,2";"";"";"";"";"";"";"1011,6";"1012,6";"1011,6";"5,0";"78,0";"8,0";"2711,20";"0,0"
"03/01/2023";"1800";"28,1";"28,4";"27,8";"";"";"";"";"";"";"1011,1";"1011,6";"1011,1";"3,8";"73,0";"8,7";"1415,80";"0,0"
"03/01/2023";"1900";"27,4";"28,1";"27,3";"";"";"";"";"";"";"1011,0";"1011,1";"1010,7";"3,6";"78,0";"7,5";"743,10";"0,0"
"03/01/2023";"2000";"27,2";"27,4";"27,1";"";"";"";"";"";"";"1011,3";"1011,3";"1011,0";"3,9";"81,0";"6,7";"348,10";"0,0"
"03/01/2023";"2100";"26,8";"27,2";"26,8";"";"";"";"";"";"";"1011,4";"1011,5";"1011,2";"3,6";"78,0";"6,6";"116,50";"0,0"
"03/01/2023";"2200";"26,6";"26,9";"26,6";"";"";"";"";"";"";"1012,3";"1012,3";"1011,4";"3,4";"78,0";"6,6";"";"0,0"
"03/01/2023";"2300";"26,7";"26,7";"26,6";"";"";"";"";"";"";"1013,0";"1013,0";"1012,2";"3,6";"77,0";"6,6";"";"0,0"
"04/01/2023";"0000";"26,5";"26,7";"26,5";"";"";"";"";"";"";"1013,6";"1013,6";"1013,0";"2,7";"76,0";"6,6";"";"0,0"
"04/01/2023";"0100";"26,5";"26,6";"26,4";"";"";"";"";"";"";"1013,6";"1013,8";"1013,6";"2,9";"64,0";"5,9";"";"0,0"
"04/01/2023";"0200";"26,3";"26,5";"26,2";"";"";"";"";"";"";"1013,4";"1013,7";"1013,4";"2,3";"58,0";"5,5";"";"0,0"
"04/01/2023";"0300";"26,1";"26,3";"26,1";"";"";"";"";"";"";"1012,7";"1013,4";"1012,7";"2,3";"54,0";"5,4";"";"0,0"
"04/01/2023";"0400";"25,1";"26,2";"24,8";"";"";"";"";"";"";"1012,1";"1012,7";"1012,1";"2,7";"46,0";"8,3";"";"2,4"
"04/01/2023";"0500";"25,2";"25,6";"25,1";"";"";"";"";"";"";"1011,9";"1012,1";"1011,9";"1,6";"19,0";"5,3";"";"0,0"
"04/01/2023";"0600";"25,0";"25,2";"24,9";"";"";"";"";"";"";"1011,5";"1011,9";"1011,5";"1,6";"32,0";"3,7";"";"0,0"
"04/01/2023";"0700";"24,9";"25,0";"24,8";"";"";"";"";"";"";"1011,6";"1011,6";"1011,3";"1,4";"23,0";"3,5";"";"0,0"
"04/01/2023";"0800";"24,5";"25,0";"24,5";"";"";"";"";"";"";"1012,5";"1012,6";"1011,6";"1,2";"358,0";"3,3";"";"0,0"
"04/01/2023";"0900";"24,7";"24,8";"24,5";"";"";"";"";"";"";"1013,4";"1013,4";"1012,5";"1,1";"50,0";"3,5";"22,60";"0,0"
"04/01/2023";"1000";"26,0";"26,1";"24,7";"45,0";"";"";"13,2";"";"";"1014,0";"1014,0";"1013,4";"1,2";"17,0";"3,1";"524,10";"0,0"
"04/01/2023";"1100";"26,7";"27,1";"25,7";"";"";"";"";"";"";"1014,6";"1014,6";"1014,0";"2,0";"25,0";"4,6";"1268,60";"0,0"
"04/01/2023";"1200";"27,2";"28,4";"26,8";"";"";"";"";"";"";"1015,0";"1015,1";"1014,6";"2,8";"84,0";"5,1";"2061,90";"0,0"
"04/01/2023";"1300";"28,2";"28,2";"27,1";"";"";"";"";"";"";"1014,6";"1015,1";"1014,6";"2,9";"84,0";"5,6";"2354,00";"0,0"
"04/01/2023";"1400";"28,4";"28,8";"27,2";"";"";"";"";"";"";"1014,1";"1014,6";"1014,1";"3,3";"78,0";"6,8";"2298,80";"0,0"
"04/01/2023";"1500";"28,2";"28,9";"27,9";"";"";"";"";"";"";"1013,3";"1014,1";"1013,3";"4,0";"82,0";"7,7";"2879,00";"0,0"
"04/01/2023";"1600";"28,5";"28,9";"28,0";"";"";"";"";"";"";"1012,7";"1013,4";"1012,7";"4,0";"78,0";"7,9";"3003,10";"0,0"
"04/01/2023";"1700";"28,7";"29,0";"28,2";"";"";"";"";"";"";"1011,9";"1012,7";"1011,8";"3,8";"76,0";"8,0";"2576,90";"0,0"
"04/01/2023";"1800";"28,2";"28,8";"27,9";"";"";"";"";"";"";"1011,3";"1011,9";"1011,2";"4,6";"78,0";"7,6";"2103,80";"0,0"
"04/01/2023";"1900";"27,7";"28,6";"27,6";"";"";"";"";"";"";"1011,0";"1011,3";"1011,0";"4,1";"75,0";"8,2";"1403,90";"0,0"
"04/01/2023";"2000";"27,2";"28,1";"27,2";"";"";"";"";"";"";"1011,2";"1011,2";"1011,0";"4,0";"76,0";"7,7";"631,80";"0,0"
"04/01/2023";"2100";"27,0";"27,3";"26,9";"";"";"";"";"";"";"1011,4";"1011,7";"1011,2";"3,6";"73,0";"7,6";"192,60";"0,0"
"04/01/2023";"2200";"26,7";"27,0";"26,6";"";"";"";"";"";"";"1011,4";"1011,6";"1011,4";"3,3";"74,0";"7,6";"";"0,0"
"04/01/2023";"2300";"26,6";"26,8";"26,5";"";"";"";"";"";"";"1012,3";"1012,3";"1011,4";"3,5";"71,0";"7,4";"";"0,0"
"05/01/2023";"0000";"26,7";"26,7";"26,6";"";"";"";"";"";"";"1012,9";"1012,9";"1012,3";"3,7";"65,0";"7,6";"";"0,0"
"05/01/2023";"0100";"26,4";"26,7";"26,4";"";"";"";"";"";"";"1013,1";"1013,1";"1012,9";"3,2";"67,0";"7,8";"";"0,0"
"05/01/2023";"0200";"26,3";"26,5";"26,3";"";"";"";"";"";"";"1013,0";"1013,2";"1012,9";"3,3";"63,0";"6,8";"";"0,0"
"05/01/2023";"0300";"26,1";"26,3";"26,1";"";"";"";"";"";"";"1012,4";"1013,0";"1012,4";"2,9";"61,0";"6,1";"";"0,0"
"05/01/2023";"0400";"26,1";"26,2";"26,0";"";"";"";"";"";"";"1011,9";"1012,4";"1011,9";"2,9";"60,0";"6,1";"";"0,0"
"05/01/2023";"0500";"26,0";"26,1";"25,9";"";"";"";"";"";"";"1011,8";"1012,0";"1011,7";"3,1";"63,0";"7,2";"";"0,0"
"05/01/2023";"0600";"25,8";"26,0";"25,8";"";"";"";"";"";"";"1011,5";"1011,8";"1011,5";"2,5";"56,0";"6,0";"";"0,0"
"05/01/2023";"0700";"25,3";"25,9";"25,3";"";"";"";"";"";"";"1011,8";"1011,8";"1011,4";"1,8";"31,0";"5,5";"";"0,0"
"05/01/2023";"0800";"25,1";"25,3";"25,0";"";"";"";"";"";"";"1012,4";"1012,4";"1011,8";"1,9";"28,0";"4,1";"";"0,0"
"05/01/2023";"0900";"25,4";"25,4";"25,1";"";"";"";"";"";"";"1013,2";"1013,2";"1012,4";"2,1";"18,0";"4,3";"85,20";"0,0"
"05/01/2023";"1000";"26,5";"26,5";"25,4";"";"";"";"";"";"";"1013,7";"1013,7";"1013,2";"2,4";"38,0";"5,1";"667,40";"0,0"
"05/01/2023";"1100";"28,0";"28,0";"26,4";"";"";"";"";"";"";"1014,2";"1014,2";"1013,7";"2,6";"45,0";"5,1";"1173,40";"0,0"
"05/01/2023";"1200";"28,9";"29,2";"27,9";"";"";"";"";"";"";"1014,4";"1014,4";"1014,1";"3,6";"70,0";"7,4";"2142,40";"0,0"
"05/01/2023";"1300";"29,1";"29,5";"28,4";"";"";"";"";"";"";"1014,2";"1014,4";"1014,2";"3,6";"64,0";"8,2";"2564,30";"0,0"
"05/01/2023";"1400";"29,2";"29,5";"28,4";"";"";"";"";"";"";"1013,6";"1014,2";"1013,5";"4,3";"79,0";"7,4";"2852,40";"0,0"
"05/01/2023";"1500";"29,1";"29,9";"28,5";"";"";"";"";"";"";"1013,2";"1013,6";"1013,2";"4,2";"77,0";"7,6";"2976,60";"0,0"
"05/01/2023";"1600";"29,3";"30,1";"28,8";"";"";"";"";"";"";"1012,5";"1013,2";"1012,5";"4,7";"80,0";"8,8";"2989,60";"0,0"
"05/01/2023";"1700";"29,0";"29,8";"28,7";"";"";"";"";"";"";"1011,7";"1012,5";"1011,7";"4,8";"80,0";"8,8";"2761,30";"0,0"
"05/01/2023";"1800";"28,5";"29,5";"28,3";"";"";"";"";"";"";"1011,0";"1011,7";"1010,9";"5,2";"81,0";"9,6";"2300,40";"0,0"
"05/01/2023";"1900";"28,0";"29,1";"28,0";"";"";"";"";"";"";"1010,6";"1011,1";"1010,6";"4,9";"81,0";"8,6";"1624,10";"0,0"
"05/01/2023";"2000";"27,6";"28,3";"27,5";"";"";"";"";"";"";"1010,7";"1010,7";"1010,5";"4,3";"77,0";"8,6";"908,00";"0,0"
"05/01/2023";"2100";"26,7";"27,5";"26,7";"";"";"";"";"";"";"1011,0";"1011,0";"1010,7";"4,3";"76,0";"8,8";"201,10";"0,0"
"05/01/2023";"2200";"26,7";"26,8";"26,6";"";"";"";"";"";"";"1011,4";"1011,4";"1010,9";"4,2";"72,0";"8,2";"";"0,0"
"05/01/2023";"2300";"26,6";"26,8";"26,5";"";"";"";"";"";"";"1012,1";"1012,1";"1011,3";"3,7";"72,0";"7,8";"";"0,0"
"06/01/2023";"0000";"26,5";"26,7";"26,5";"";"";"";"";"";"";"1012,7";"1012,7";"1012,1";"3,3";"72,0";"8,1";"";"0,0"
"06/01/2023";"0100";"26,4";"26,5";"26,4";"";"";"";"";"";"";"1013,4";"1013,4";"1012,7";"2,7";"66,0";"6,7";"";"0,0"
"06/01/2023";"0200";"26,5";"26,5";"26,3";"";"";"";"";"";"";"1013,3";"1013,5";"1013,3";"2,8";"65,0";"5,5";"";"0,0"
"06/01/2023";"0300";"26,2";"26,5";"26,2";"";"";"";"";"";"";"1012,9";"1013,3";"1012,9";"2,9";"65,0";"5,6";"";"0,0"
"06/01/2023";"0400";"25,9";"26,3";"25,9";"";"";"";"";"";"";"1012,3";"1012,9";"1012,3";"2,4";"54,0";"5,5";"";"0,0"
"06/01/2023";"0500";"25,6";"26,0";"25,6";"";"";"";"";"";"";"1012,0";"1012,3";"1012,0";"1,7";"30,0";"4,7";"";"0,0"
"06/01/2023";"0600";"25,1";"25,6";"25,1";"";"";"";"";"";"";"1012,1";"1012,1";"1011,9";"2,0";"28,0";"3,4";"";"0,0"
"06/01/2023";"0700";"24,9";"25,1";"24,9";"";"";"";"";"";"";"1012,1";"1012,1";"1011,9";"1,6";"34,0";"3,3";"";"0,0"
"06/01/2023";"0800";"25,1";"25,1";"24,8";"";"";"";"";"";"";"1012,9";"1012,9";"1012,1";"2,2";"28,0";"4,6";"";"0,0"
"06/01/2023";"0900";"25,1";"25,1";"24,8";"";"";"";"";"";"";"1013,7";"1013,7";"1012,9";"1,9";"21,0";"4,3";"55,40";"0,0"
"06/01/2023";"1000";"26,4";"26,4";"25,1";"";"";"";"";"";"";"1014,2";"1014,2";"1013,6";"2,8";"36,0";"5,0";"645,50";"0,0"
"06/01/2023";"1100";"27,9";"28,1";"26,3";"";"";"";"";"";"";"1014,5";"1014,5";"1014,2";"3,9";"33,0";"7,5";"1388,90";"0,0"
"06/01/2023";"1200";"28,8";"29,1";"27,9";"";"";"";"";"";"";"1014,5";"1014,6";"1014,5";"3,6";"74,0";"6,6";"2410,70";"0,0"
"06/01/2023";"1300";"28,9";"29,7";"28,7";"";"";"";"";"";"";"1014,3";"1014,5";"1014,2";"4,2";"81,0";"6,6";"2630,40";"0,0"
"06/01/2023";"1400";"28,8";"29,3";"28,4";"";"";"";"";"";"";"1013,9";"1014,3";"1013,9";"4,6";"82,0";"8,0";"2871,00";"0,0"
"06/01/2023";"1500";"29,2";"29,7";"28,6";"";"";"";"";"";"";"1013,7";"1014,0";"1013,7";"4,9";"81,0";"8,3";"2972,20";"0,0"
"06/01/2023";"1600";"28,9";"29,5";"28,7";"";"";"";"";"";"";"1013,0";"1013,7";"1013,0";"5,2";"79,0";"9,2";"2988,50";"0,0"
"06/01/2023";"1700";"28,7";"29,3";"28,6";"";"";"";"";"";"";"1012,2";"1013,0";"1012,2";"4,6";"79,0";"9,6";"2766,30";"0,0"
"06/01/2023";"1800";"28,4";"29,3";"28,3";"";"";"";"";"";"";"1011,6";"1012,2";"1011,6";"4,7";"80,0";"9,6";"2286,20";"0,0"
"06/01/2023";"1900";"28,0";"28,6";"28,0";"";"";"";"";"";"";"1011,7";"1011,7";"1011,5";"4,3";"81,0";"8,0";"1628,50";"0,0"
"06/01/2023";"2000";"27,6";"28,1";"27,6";"";"";"";"";"";"";"1011,8";"1011,9";"1011,6";"4,1";"81,0";"8,0";"894,60";"0,0"
"06/01/2023";"2100";"26,9";"27,6";"26,9";"";"";"";"";"";"";"1012,2";"1012,3";"1011,8";"3,7";"79,0";"7,6";"204,90";"0,0"
"06/01/2023";"2200";"26,8";"26,9";"26,7";"";"";"";"";"";"";"1012,5";"1012,5";"1012,2";"4,0";"71,0";"7,5";"";"0,0"
"06/01/2023";"2300";"26,7";"26,8";"26,6";"";"";"";"";"";"";"1013,3";"1013,3";"1012,5";"3,3";"74,0";"7,4";"";"0,0"
"07/01/2023";"0000";"26,7";"26,8";"26,7";"";"";"";"";"";"";"1014,2";"1014,2";"1013,2";"3,6";"76,0";"7,2";"";"0,0"
"07/01/2023";"0100";"26,6";"26,8";"26,6";"";"";"";"";"";"";"1014,4";"1014,5";"1014,1";"3,5";"72,0";"7,6";"";"0,0"
"07/01/2023";"0200";"26,5";"26,7";"26,5";"";"";"";"";"";"";"1014,2";"1014,4";"1014,2";"3,4";"64,0";"7,6";"";"0,0"
"07/01/2023";"0300";"26,4";"26,6";"26,4";"";"";"";"";"";"";"1013,8";"1014,2";"1013,8";"3,2";"61,0";"6,7";"";"0,0"
"07/01/2023";"0400";"26,4";"26,5";"26,3";"";"";"";"";"";"";"1013,3";"1013,8";"1013,3";"2,9";"63,0";"6,7";"";"0,0"
"07/01/2023";"0500";"26,1";"26,4";"26,0";"";"";"";"";"";"";"1013,2";"1013,4";"1013,2";"2,4";"62,0";"5,7";"";"0,0"
"07/01/2023";"0600";"25,9";"26,2";"25,9";"";"";"";"";"";"";"1013,2";"1013,3";"1013,2";"1,7";"26,0";"5,7";"";"0,0"
"07/01/2023";"0700";"25,3";"26,0";"25,3";"";"";"";"";"";"";"1013,3";"1013,3";"1013,2";"1,9";"41,0";"3,6";"";"0,0"
"07/01/2023";"0800";"25,0";"25,3";"25,0";"";"";"";"";"";"";"1014,1";"1014,1";"1013,3";"1,4";"26,0";"3,3";"";"0,0"
"07/01/2023";"0900";"25,2";"25,3";"25,0";"";"";"";"";"";"";"1014,5";"1014,6";"1014,1";"1,8";"31,0";"3,5";"51,40";"0,0"
"07/01/2023";"1000";"26,7";"26,8";"25,2";"";"";"";"";"";"";"1015,2";"1015,2";"1014,6";"2,1";"26,0";"4,3";"627,40";"0,0"
"07/01/2023";"1100";"28,2";"28,4";"26,7";"";"";"";"";"";"";"1015,5";"1015,5";"1015,1";"3,2";"72,0";"5,7";"1548,40";"0,0"
"07/01/2023";"1200";"29,0";"29,0";"27,9";"";"";"";"";"";"";"1015,9";"1015,9";"1015,4";"3,6";"71,0";"6,6";"2135,00";"0,0"
"07/01/2023";"1300";"29,3";"29,4";"28,4";"";"";"";"";"";"";"1015,8";"1015,9";"1015,8";"3,8";"69,0";"7,3";"2582,80";"0,0"
"07/01/2023";"1400";"28,3";"29,6";"28,3";"";"";"";"";"";"";"1015,5";"1015,8";"1015,5";"4,2";"77,0";"7,5";"2863,10";"0,0"
"07/01/2023";"1500";"29,3";"29,7";"28,3";"";"";"";"";"";"";"1015,0";"1015,6";"1015,0";"4,8";"75,0";"9,0";"2977,60";"0,0"
"07/01/2023";"1600";"29,2";"30,0";"28,9";"";"";"";"";"";"";"1014,4";"1015,0";"1014,3";"5,1";"74,0";"8,6";"2994,60";"0,0"
"07/01/2023";"1700";"28,9";"29,7";"28,8";"";"";"";"";"";"";"1013,7";"1014,4";"1013,7";"5,4";"84,0";"8,9";"2764,40";"0,0"
"07/01/2023";"1800";"28,3";"29,4";"28,3";"";"";"";"";"";"";"1013,1";"1013,7";"1013,0";"4,5";"81,0";"8,7";"2216,70";"0,0"
"07/01/2023";"1900";"28,5";"29,1";"28,3";"";"";"";"";"";"";"1012,8";"1013,1";"1012,7";"4,0";"81,0";"7,8";"1722,50";"0,0"
