"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,7";"26,9";"26,6";"";"";"";"";"";"";"1014,6";"1014,7";"1014,4";"1,0";"50,0";"4,1";"";"0,0"
"01/01/2023";"0100";"26,7";"26,8";"26,5";"";"";"";"";"";"";"1014,5";"1014,6";"1014,4";"1,1";"53,0";"4,6";"";"0,0"
"01/01/2023";"0200";"26,6";"26,8";"26,6";"";"";"";"";"";"";"1014,1";"1014,5";"1014,1";"1,1";"353,0";"4,7";"";"0,0"
"01/01/2023";"0300";"26,1";"26,6";"25,2";"";"";"";"";"";"";"1013,5";"1014,1";"1013,5";"1,9";"69,0";"7,5";"";"0,0"
"01/01/2023";"0400";"26,4";"26,5";"26,1";"";"";"";"";"";"";"1012,7";"1013,5";"1012,6";"3,7";"80,0";"6,6";"";"0,2"
"01/01/2023";"0500";"26,4";"26,6";"26,4";"";"";"";"";"";"";"1012,3";"1012,7";"1012,2";"3,5";"79,0";"6,6";"";"0,0"
"01/01/2023";"0600";"25,6";"26,4";"25,6";"";"";"";"";"";"";"1012,0";"1012,3";"1012,0";"0,7";"322,0";"6,0";"";"0,0"
"01/01/2023";"0700";"25,3";"26,0";"25,3";"";"";"";"";"";"";"1012,1";"1012,2";"1011,9";"2,6";"76,0";"6,2";"";"0,0"
"01/01/2023";"0800";"23,1";"25,4";"23,1";"";"";"";"";"";"";"1012,5";"1012,5";"1012,1";"0,8";"25,0";"7,5";"";"4,4"
"01/01/2023";"0900";"24,1";"24,1";"23,0";"";"";"";"";"";"";"1013,3";"1013,3";"1012,5";"1,2";"333,0";"2,0";"78,40";"0,0"
"01/01/2023";"1000";"23,9";"24,5";"23,4";"";"";"";"";"";"";"1014,0";"1014,0";"1013,3";"1,2";"25,0";"6,9";"275,60";"0,6"
"01/01/2023";"1100";"25,5";"25,5";"23,8";"";"";"";"";"";"";"1014,3";"1014,4";"1014,0";"1,5";"15,0";"2,8";"733,80";"0,0"
"01/01/2023";"1200";"27,2";"27,5";"25,4";"";"";"";"";"";"";"1014,1";"1014,3";"1014,1";"1,6";"74,0";"3,2";"1677,20";"0,0"
"01/01/2023";"1300";"27,9";"28,3";"27,1";"";"";"";"";"";"";"1014,0";"1014,2";"1014,0";"3,1";"82,0";"5,4";"2548,00";"0,0"
"01/01/2023";"1400";"27,8";"28,6";"27,5";"";"";"";"";"";"";"1013,6";"1014,0";"1013,5";"3,1";"70,0";"5,0";"2852,60";"0,0"
"01/01/2023";"1500";"28,0";"28,5";"27,5";"";"";"";"";"";"";"1013,0";"1013,6";"1013,0";"3,3";"76,0";"5,7";"2924,60";"0,0"
"01/01/2023";"1600";"26,5";"28,5";"25,8";"";"";"";"";"";"";"1012,7";"1013,0";"1012,7";"4,4";"64,0";"9,4";"2144,90";"0,0"
"01/01/2023";"1700";"24,6";"26,5";"24,2";"";"";"";"";"";"";"1012,2";"1012,8";"1012,2";"3,3";"57,0";"9,0";"1296,60";"0,8"
"01/01/2023";"1800";"25,3";"25,3";"24,2";"";"";"";"";"";"";"1011,4";"1012,2";"1011,4";"3,5";"80,0";"6,0";"1064,10";"0,4"
"01/01/2023";"1900";"26,1";"26,3";"25,2";"";"";"";"";"";"";"1010,9";"1011,4";"1010,9";"3,5";"77,0";"7,3";"1032,60";"0,0"
"01/01/2023";"2000";"25,6";"26,5";"25,6";"";"";"";"";"";"";"1011,8";"1011,9";"1010,9";"4,3";"75,0";"9,3";"358,90";"0,0"
"01/01/2023";"2100";"24,7";"25,6";"24,6";"";"";"";"";"";"";"1012,3";"1012,3";"1011,8";"5,0";"78,0";"9,1";"63,40";"0,0"
"01/01/2023";"2200";"24,2";"24,7";"23,9";"";"";"";"";"";"";"1013,2";"1013,2";"1012,3";"4,0";"74,0";"9,9";"";"0,0"
"01/01/2023";"2300";"25,6";"25,7";"24,1";"";"";"";"";"";"";"1013,8";"1013,8";"1013,2";"3,8";"69,0";"7,6";"";"0,2"
"02/01/2023";"0000";"25,2";"25,8";"25,2";"";"";"";"";"";"";"1013,9";"1014,0";"1013,7";"3,4";"69,0";"7,3";"";"0,0"
"02/01/2023";"0100";"25,5";"25,5";"25,2";"";"";"";"";"";"";"1014,0";"1014,0";"1013,9";"3,1";"58,0";"6,3";"";"0,0"
"02/01/2023";"0200";"25,4";"25,6";"25,4";"";"";"";"";"";"";"1013,5";"1014,0";"1013,5";"2,4";"57,0";"6,2";"";"0,0"
"02/01/2023";"0300";"25,5";"25,6";"25,4";"";"";"";"";"";"";"1012,8";"1013,5";"1012,8";"2,3";"57,0";"5,0";"";"0,0"
"02/01/2023";"0400";"25,8";"25,9";"25,5";"";"";"";"";"";"";"1012,2";"1012,8";"1012,2";"2,4";"67,0";"4,8";"";"0,0"
"02/01/2023";"0500";"24,6";"25,8";"24,6";"";"";"";"";"";"";"1011,8";"1012,2";"1011,8";"2,2";"36,0";"7,5";"";"0,0"
"02/01/2023";"0600";"24,4";"24,6";"24,3";"";"";"";"";"";"";"1011,9";"1012,0";"1011,8";"2,4";"29,0";"4,6";"";"0,0"
"02/01/2023";"0700";"24,9";"25,0";"24,4";"";"";"";"";"";"";"1011,8";"1011,9";"1011,6";"2,6";"66,0";"6,4";"";"0,0"
"02/01/2023";"0800";"25,2";"25,3";"24,7";"";"";"";"";"";"";"1011,9";"1012,2";"1011,7";"3,2";"40,0";"6,4";"";"0,0"
"02/01/2023";"0900";"24,8";"25,2";"24,8";"";"";"";"";"";"";"1013,3";"1013,3";"1011,8";"1,4";"12,0";"6,0";"30,70";"0,0"
"02/01/2023";"1000";"25,2";"25,2";"24,8";"";"";"";"";"";"";"1013,8";"1014,0";"1013,3";"1,9";"29,0";"3,5";"199,70";"0,0"
"02/01/2023";"1100";"25,5";"25,8";"25,2";"";"";"";"";"";"";"1014,1";"1014,2";"1013,8";"2,8";"64,0";"4,7";"577,00";"0,0"
"02/01/2023";"1200";"25,8";"26,4";"25,5";"";"";"";"";"";"";"1014,6";"1014,6";"1014,0";"3,9";"74,0";"6,8";"888,50";"0,0"
